tweet_id,retweet_count,favorite_count
892420643555336193,7003,33811
892177421306343426,5301,29324
891815181378084864,3478,22038
891689557279858688,7224,36929
891327558926688256,7757,35308
891087950875897856,2600,17806
890971913173991426,1661,10359
890729181411237888,15753,56858
890609185150312448,3619,24520
890240255349198849,6098,27957
890006608113172480,6151,27033
889880896479866881,4165,24553
889665388333682689,8348,42050
889638837579907072,3715,23673
889531135344209921,1881,13353
889278841981685760,4443,22113
888917238123831296,3760,25635
888804989199671297,3534,22465
888554962724278272,2877,17313
888078434458587136,2892,19151
887705289381826560,4533,26617
887517139158093824,9847,40720
887473957103951883,15020,60183
887343217045368832,8813,29586
887101392804085760,4989,26984
886983233522544640,6315,30382
886736880519319552,2629,10501
886680336477933568,3734,19732
886366144734445568,2629,18545
886267009285017600,4,105
886258384151887873,5285,24520
886054160059072513,93,0
885984800019947520,5611,28608
885528943205470208,5326,31588
885518971528720385,3106,18001
885311592912609280,15429,0
885167619883638784,3669,19252
884925521741709313,15021,67272
884876753390489601,4673,24382
884562892145688576,3909,21320
884441805382717440,4790,23858
884247878851493888,16917,63297
884162670584377345,2505,17941
883838122936631299,2861,19170
883482846933004288,8269,40207
883360690899218434,3077,19945
883117836046086144,5533,32507
882992080364220416,3245,20965
882762694511734784,4094,24784
882627270321602560,5061,24599
882268110199369728,9630,39194
882045870035918850,4080,25725
881906580714921986,2854,21442
881666595344535552,8956,44545
881633300179243008,8,113
881536004380872706,13399,43438
881268444196462592,4492,20477
880935762899988482,2333,15052
880872448815771648,3199,18713
880465832366813184,5211,25030
880221127280381952,3466,23668
880095782870896641,3651,24334
879862464715927552,2927,19700
879674319642796034,9,282
879492040517615616,2628,20705
879415818425184262,37445,92850
879376492567855104,2648,14857
879130579576475649,5739,0
879050749262655488,3955,19807
879008229531029506,2241,16781
878776093423087618,3432,17135
878604707211726852,5926,26438
878404777348136964,1077,0
878316110768087041,5525,0
878281511006478336,1077,6779
878057613040115712,5739,37148
877736472329191424,15803,69273
877611172832227328,70,0
877556246731214848,3168,19903
877316821321428993,4347,24154
877201837425926144,4629,23867
876838120628539392,2803,18211
876537666061221889,3972,21047
876484053909872640,1999,16566
876120275196170240,3902,24680
875747767867523072,3582,22107
875144289856114688,4155,19417
875097192612077568,5114,24243
875021211251597312,3972,22545
874680097055178752,3919,24602
874434818259525634,12210,0
874296783580663808,3482,22968
874057562936811520,3376,20117
874012996292530176,8589,30126
873580283840344065,3343,21378
873337748698140672,1331,0
873213775632977920,1331,6320
872967104147763200,4561,24068
872820683541237760,3166,13068
872620804844003328,3067,18326
872486979161796608,7717,36089
872122724285648897,6824,30231
871879754684805121,9248,33108
871762521631449091,2969,17888
871515927908634625,2940,17889
871166179821445120,4892,0
871102520638267392,4677,18544
871032628920680449,3222,20147
870804317367881728,5283,29804
870726314365509632,3,105
870656317836468226,2206,10889
870374049280663552,22750,73956
870308999962521604,3548,19481
870063196459192321,7075,32419
869772420881756160,8696,38013
869702957897576449,5385,25061
869596645499047938,2639,14209
869227993411051520,3200,18132
868880397819494401,12261,57970
868639477480148993,1752,0
868622495443632128,4470,23636
868552278524837888,1752,8970
867900495410671616,3571,21605
867774946302451713,6255,30273
867421006826221569,2115,14351
867072653475098625,101,0
867051520902168576,6787,28714
866720684873056260,4130,17872
866686824827068416,2972,17136
866450705531457537,30205,108890
866334964761202691,12210,46616
866094527597207552,7169,0
865718153858494464,4850,22931
865359393868664832,4290,23612
865006731092295680,6673,25043
864873206498414592,7499,28865
864279568663928832,2582,13075
864197398364647424,7587,26643
863907417377173506,3592,18419
863553081350529029,3634,13685
863471782782697472,2092,0
863432100342583297,4554,21316
863427515083354112,80,1960
863079547188785154,953,7899
863062471531167744,2092,7526
862831371563274240,4459,17213
862722525377298433,3091,15334
862457590147678208,4253,18287
862096992088072192,20010,66317
861383897657036800,9273,32308
861288531465048066,3591,15357
861005113778896900,3338,14997
860981674716409858,1857,0
860924035999428608,678,0
860563773140209665,1857,6725
860524505164394496,4604,21259
860276583193509888,3071,16591
860184849394610176,5124,15023
860177593139703809,26756,0
859924526012018688,3585,17644
859851578198683649,3069,13975
859607811541651456,1365,16828
859196978902773760,26278,80585
859074603037188101,11973,30449
858860390427611136,7084,0
